name,set,image,main_type,sub_type,color_type,special_type,tribe,attribute,level,attack,defense,text
Turret Warrior,CRMS,database\images\TurretWarrior.jpg,Monster,Effect,Nil,Nil,Warrior,EARTH,5,1200,2000,"You can Tribute 1 Warrior-Type monster to Special Summon this card from your hand. If you do, it gains ATK equal to the Tributed monster's original ATK."
Necroface,DGD1,database\images\Necroface.jpg,Monster,Effect,Nil,Nil,Zombie,DARK,4,1200,1800,"When this card is Normal Summoned, shuffle all removed from play cards into their owner's Decks. This card gains 100 ATK for each of those cards. When this card is removed from play, both players remove from play the top 5 cards of their Deck."
Night's End Sorcerer,CSOC,database\images\NightsEndSorcerer.jpg,Monster,Effect,Nil,Tuner,Spellcaster,DARK,2,1300,400,"When this card is Special Summoned, you can remove from play up to 2 cards from your opponent's Graveyard."
Junk Synchron,5DS1,database\images\JunkSynchron.jpg,Monster,Effect,Nil,Tuner,Warrior,DARK,3,1300,500,"When this card is Normal Summoned, you can Special Summon 1 Level 2 or lower monster from your Graveyard in face-up Defense Position. That monster's effect(s) is negated."
W-Wing Catapult,DP2,database\images\WWingCatapult.jpg,Monster,Effect,Nil,Union,Machine,LIGHT,4,1300,1500,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""V-Tiger Jet"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, increase the ATK and DEF of the equipped monster by 400 points. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed by battle, destroy this card instead.)"
Sentinel of the Seas,CP06,database\images\SentineloftheSeas.jpg,Monster,Normal,Nil,Nil,Aqua,WATER,4,1300,1000,A merman warrior dedicated to defending the ocean against anyone who would defile it.
Mystic Horseman,DB2,database\images\MysticHorseman.jpg,Monster,Normal,Nil,Nil,Beast,EARTH,4,1300,1550,"Half man and half horse, this monster is known for its extreme speed."
Pandemonium Watchbear,DCR,database\images\PandemoniumWatchbear.jpg,Monster,Effect,Nil,Nil,Beast,DARK,4,1300,1800,"As long as this card remains face-up on your side of the field, ""Pandemonium"" on your side of the field cannot be destroyed by your opponent's card effects."
Gray Wing,DB2,database\images\GrayWing.jpg,Monster,Effect,Nil,Nil,Dragon,WIND,3,1300,700,Discard 1 card from your hand during Main Phase 1. This monster can attack twice during the Battle Phase of any turn this effect is used.
The Dragon Dwelling In The Cave,5DS2,database\images\TheDragonDwellingInTheCave.jpg,Monster,Normal,Nil,Nil,Dragon,WIND,4,1300,2000,"A huge dragon dwelling in a cave. It is horrible when it gets angry, although it is usually quiet. It is said to preserve certain treasures."
Royal Knight,DR04,database\images\RoyalKnight.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,3,1300,800,"When this card destroys a monster as a result of battle and sends it to the Graveyard, gain Life Points by the DEF of the destroyed monster."
Shining Friendship,DB2,database\images\ShiningFriendship.jpg,Monster,Normal,Nil,Nil,Fairy,LIGHT,4,1300,1100,The peacemaker among monsters.
Stray Asmodian,CDIP,database\images\StrayAsmodian.jpg,Monster,Effect,Nil,Nil,Fiend,FIRE,3,1300,1700,"When this card is destroyed and sent to the Graveyard by battle, both players gain 800 Life Points."
The Gross Ghost of Fled Dreams,DB1,database\images\TheGrossGhostofFledDreams.jpg,Monster,Normal,Nil,Nil,Fiend,DARK,4,1300,1800,"This monster feeds on the dreams of an unwary sleeper, dragging the victim into eternal slumber."
Amazon of the Seas,CP05,database\images\AmazonoftheSeas.jpg,Monster,Normal,Nil,Nil,Fish,WATER,4,1300,1400,A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.
XX-Saber Emmersblade,ABPF,database\images\XXSaberEmmersblade.jpg,Monster,Effect,Nil,Nil,Insect,EARTH,3,1300,800,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 Level 4 or lower ""X-Saber"" monster from your Deck."
Gadget Hauler,CSOC,database\images\GadgetHauler.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,6,1300,0,"Once per turn, you can send any number of ""Morphtronic"" monsters from your hand to the Graveyard to have this card gain 800 ATK for each."
Botanical Girl,CSOC,database\images\BotanicalGirl.jpg,Monster,Effect,Nil,Nil,Plant,WATER,3,1300,1100,"When this card is sent from the field to the Graveyard, you can add 1 Plant-Type monster with 1000 or less DEF from your Deck to your hand."
Power Injector,CSOC,database\images\PowerInjector.jpg,Monster,Effect,Nil,Nil,Psychic,EARTH,4,1300,1400,Once per turn you can pay 600 Life Points to have all face-up Psychic-Type monsters gain 500 ATK during this turn.
Legendary Jujitsu Master,AST,database\images\LegendaryJujitsuMaster.jpg,Monster,Effect,Nil,Nil,Rock,EARTH,3,1300,1800,A monster that battles with this Defense Position card is returned to the top of its owner's Deck at the end of the Damage Step.
Night Wing Sorceress,CRMS,database\images\NightWingSorceress.jpg,Monster,Effect,Nil,Nil,Spellcaster,WIND,3,1300,1200,"You can activate ""Assault Mode Activate"" the turn it is Set."
The Kick Man,AST,database\images\TheKickMan.jpg,Monster,Effect,Nil,Nil,Zombie,DARK,3,1300,300,"When this card is Special Summoned successfully, you can equip 1 appropriate Equip Spell Card from your Graveyard to this card."
Crass Clown,DB2,database\images\CrassClown.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,4,1350,1400,"When this card is changed from Defense Position to Attack Position, return 1 monster on your opponent's side of the Field to the owner's hand."
Kinetic Soldier,CP04,database\images\KineticSoldier.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,3,1350,1800,"When battling a Warrior-Type monster, this card gains 2000 ATK and DEF during damage calculation only."
Invader of the Throne,DB1,database\images\InvaderoftheThrone.jpg,Monster,Effect,Nil,Nil,Warrior,EARTH,4,1350,1700,FLIP: Select 1 monster on your opponent's side of the field and switch control of it with this card. This effect cannot be activated during the Battle Phase.
Reaper of the Cards,DB1,database\images\ReaperoftheCards.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,5,1380,1930,"FLIP: Select 1 Trap Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Trap Card, it is destroyed. If it is a Spell Card, return it to its original position."
Magna Drago,5DS1,database\images\MagnaDrago.jpg,Monster,Effect,Nil,Tuner,Dragon,FIRE,2,1400,600,"Each time this card inflicts Battle Damage to your opponent, it gains 200 ATK."
The Wicked Worm Beast,DB2,database\images\TheWickedWormBeast.jpg,Monster,Effect,Nil,Nil,Beast,EARTH,3,1400,700,This face-up card on the field is returned to the owner's hand during the End Phase of your turn.
XX-Saber Garsem,ABPF,database\images\XXSaberGarsem.jpg,Monster,Effect,Nil,Nil,Beast,EARTH,4,1400,400,"When this card on the field is destroyed and sent to the Graveyard by a card effect, add 1 ""X-Saber"" monster from your Deck to your hand. This card gains 200 ATK for each face-up ""X-Saber"" monster you control."
Cybernetic Cyclopean,CRV,database\images\CyberneticCyclopean.jpg,Monster,Effect,Nil,Nil,Beast-Warrior,EARTH,4,1400,1200,"While you have no cards in your hand, this card gains 1000 ATK."
Mad Sword Beast,DB1,database\images\MadSwordBeast.jpg,Monster,Effect,Nil,Nil,Dinosaur,EARTH,4,1400,1200,"When this card attacks with an ATK that is higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points."
Powered Tuner,5DS2,database\images\PoweredTuner.jpg,Monster,Effect,Nil,Nil,Dragon,WATER,4,1400,1000,This card gains 500 ATK for each face-up Tuner Monster on the field.
Layard the Liberator,DR04,database\images\LayardtheLiberator.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,4,1400,1500,"While this card is face-up on the field, add 2 of your removed from play Fairy-Type monsters to your hand each time a Counter Trap Card is activated."
Senju of the Thousand Hands,DB1,database\images\SenjuoftheThousandHands.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,4,1400,1000,"When this card is summoned to the field (excluding Special Summon), you may move 1 Ritual Monster Card from your Deck to your hand. The Deck is then shuffled."
"Broww, Huntsman of Dark World",DR04,database\images\BrowwHuntsmanofDarkWorld.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,3,1400,800,"If this card is discarded from the hand to the Graveyard by a card effect, draw 1 card from your Deck. If this card is discarded from the hand to the Graveyard by your opponent's card effect, draw 1 more card from your Deck."
Lord of the Lamp,DB2,database\images\LordoftheLamp.jpg,Monster,Normal,Nil,Nil,Fiend,DARK,4,1400,1200,This spirit emerges from the mystic lamp and obeys the wishes of its summoner.
Pursuit Chaser,CSOC,database\images\PursuitChaser.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,3,1400,600,"When a Defense Position monster is destroyed by battle and sent to the Graveyard, inflict 500 damage to your opponent."
Inmato,CRMS,database\images\Inmato.jpg,Monster,Effect,Nil,Nil,Plant,DARK,3,1400,800,"When 1 other face-up Plant-Type monster is targeted by the effect of a Spell or Trap Card your opponent controls, you can Tribute this card to draw 2 cards."
Serpentine Princess,DB2,database\images\SerpentinePrincess.jpg,Monster,Effect,Nil,Nil,Reptile,WATER,4,1400,2000,"If this face-up card is sent directly from the field to your Deck, Special Summon 1 Level 3 or lower monster from your Deck."
Worm Drake,DB1,database\images\WormDrake.jpg,Monster,Normal,Nil,Nil,Reptile,EARTH,4,1400,1500,"Once this monster wraps itself around a victim, there is no escape."
Atlantean Pikeman,5DS1,database\images\AtlanteanPikeman.jpg,Monster,Normal,Nil,Nil,Sea Serpent,WATER,2,1400,0,"The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of."
Codarus,ABPF,database\images\Codarus.jpg,Monster,Effect,Nil,Nil,Sea Serpent,WATER,4,1400,1200,"You can send 1 face-up ""Umi"" you control to the Graveyard to select up to 2 cards your opponent controls and send them to the Graveyard."
Rai-Mei,CSOC,database\images\RaiMei.jpg,Monster,Effect,Nil,Nil,Thunder,LIGHT,3,1400,1200,"When this card is destroyed by battle and sent to the Graveyard, you can add 1 Level 2 or lower LIGHT monster from your Deck to your hand."
Blade Skater,DR04,database\images\BladeSkater.jpg,Monster,Normal,Nil,Nil,Warrior,EARTH,4,1400,1500,"An image of beauty on the ice, this gorgeous warrior rips her opponents into pieces with her stylish Accel Slicer attack."
D.D. Guide,DR04,database\images\DDGuide.jpg,Monster,Effect,Nil,Nil,Warrior,DARK,4,1400,1000,"When this card is Normal Summoned, control of this card shifts to your opponent. During each player's End Phase, your opponent selects 1 card from the Graveyard of this card's controller and removes it from play."
Sonic Bird,DB1,database\images\SonicBird.jpg,Monster,Effect,Nil,Nil,Winged Beast,WIND,4,1400,1000,"When this card is Normal or Flip Summoned, add 1 Ritual Spell Card from your Deck to your hand."
Headless Knight,DB1,database\images\HeadlessKnight.jpg,Monster,Normal,Nil,Nil,Fiend,EARTH,4,1450,1700,A haunted spirit of a falsely accused knight who wanders in search of truth and justice.
Bri Synchron,DP10,database\images\BriSynchron.jpg,Monster,Effect,Nil,Tuner,Machine,EARTH,4,1500,1100,"If this card is sent to the Graveyard as a Synchro Material Monster, until the End Phase of this turn, the Synchro Monster that used this card as a Synchro Material Monster gains 600 ATK but its effects are negated."
Y-Dragon Head,DP2,database\images\YDragonHead.jpg,Monster,Effect,Nil,Union,Machine,LIGHT,4,1500,1600,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""X-Head Cannon"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, increase the ATK/DEF of the equipped monster by 400 points. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed as a result of battle, destroy this card instead.)"
Mermaid Knight,AST,database\images\MermaidKnight.jpg,Monster,Effect,Nil,Nil,Aqua,WATER,4,1500,700,"As long as ""Umi"" remains face-up on the field, this card can attack twice during the same Battle Phase."
Guard Dog,DR04,database\images\GuardDog.jpg,Monster,Effect,Nil,Nil,Beast,EARTH,3,1500,500,FLIP: Your opponent cannot Special Summon for the rest of this turn.
Rampaging Rhynos,CDIP,database\images\RampagingRhynos.jpg,Monster,Effect,Nil,Nil,Beast-Warrior,EARTH,3,1500,1500,"Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If this card attacks the monster in its same column, this card gains 500 ATK during the Damage Step."
Uraby,DB1,database\images\Uraby.jpg,Monster,Normal,Nil,Nil,Dinosaur,EARTH,4,1500,800,"Fast on its feet, this dinosaur rips enemies to shreds with its sharp claws."
Blackland Fire Dragon,DB2,database\images\BlacklandFireDragon.jpg,Monster,Normal,Nil,Nil,Dragon,DARK,4,1500,800,"A dragon that dwells in the depths of Darkness, its vulnerability lies in its poor eyesight."
Divine Dragon - Excelion,DR04,database\images\DivineDragonExcelion.jpg,Monster,Effect,Nil,Nil,Dragon,LIGHT,5,1500,900,"When this card is Normal Summoned, it gets 1 of the following effects for each ""Divine Dragon - Excelion"" in your Graveyard when this effect resolves (your choice). These effects cannot accumulate. *Increase the ATK of this card by 1000 points. *If this card destroys your opponent's monster as a result of battle, it can attack once again in a row. *When this card destroys a monster as a result of battle and sends it to the Graveyard, inflict damage to your opponent's Life Points equal to the ATK of the destroyed monster."
Dragonic Guard,ABPF,database\images\DragonicGuard.jpg,Monster,Effect,Nil,Nil,Dragon,FIRE,4,1500,1800,"Each time a monster is Normal Summoned or Set, place 1 Dragonic Counter on this card. You can send this face-up card to the Graveyard to Special Summon 1 Dragon-Type monster from your Deck whose Level is less than or equal to the number of Dragonic Counters on this card."
Kelbek,DCR,database\images\Kelbek.jpg,Monster,Effect,Nil,Nil,Fairy,EARTH,4,1500,1800,Any monster that attacks this card is returned to its owner's hand. Damage calculation is applied normally.
Mudora,CP01,database\images\Mudora.jpg,Monster,Effect,Nil,Nil,Fairy,EARTH,4,1500,1800,This card gains 200 ATK for every Fairy-Type monster in your Graveyard.
Grand Tiki Elder,CP04,database\images\GrandTikiElder.jpg,Monster,Normal,Nil,Nil,Fiend,DARK,4,1500,800,A masked monster that weilds the most deadly of curses.
Snipe Hunter,CDIP,database\images\SnipeHunter.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,4,1500,600,"You can discard 1 card to select 1 card on the field and roll a six-sided die. If the result is not 1 or 6, destroy the selected card."
Twin-Headed Wolf,DB2,database\images\TwinHeadedWolf.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,4,1500,1000,"When there is another face-up Fiend-Type monster on your side of the field, negate the effect of Flip Effect Monsters destroyed by this card in battle."
Cure Mermaid,DB1,database\images\CureMermaid.jpg,Monster,Effect,Nil,Nil,Fish,WATER,4,1500,800,"As long as this card remains face-up on your side of the field, gain 800 Life Points during each of your Standby Phases."
Cyber Dragon Zwei,ABPF,database\images\CyberDragonZwei.jpg,Monster,Effect,Nil,Nil,Machine,LIGHT,4,1500,1000,"If this card attacks an opponent's monster, this card gains 300 ATK during the Damage Step only. Once per turn, you can reveal 1 Spell Card in your hand to treat this card's name as ""Cyber Dragon"" until the End Phase. This card's name is treated as ""Cyber Dragon"" while in the Graveyard."
Tenkabito Shien,DR04,database\images\TenkabitoShien.jpg,Monster,Effect,Nil,Nil,Pyro,FIRE,4,1500,1000,This card is unaffected by the effects of Trap Cards.
Armored Lizard,DB1,database\images\ArmoredLizard.jpg,Monster,Normal,Nil,Nil,Reptile,EARTH,4,1500,1200,A lizard with a very tough hide and a vicious bite.
Elephant Statue of Blessing,AST,database\images\ElephantStatueofBlessing.jpg,Monster,Effect,Nil,Nil,Rock,EARTH,3,1500,0,"When this card is sent directly from your hand to the Graveyard by an effect of a card controlled by your opponent, gain 2000 Life Points."
Elephant Statue of Disaster,AST,database\images\ElephantStatueofDisaster.jpg,Monster,Effect,Nil,Nil,Rock,EARTH,3,1500,0,"When this card is sent directly from your hand to the Graveyard by an effect of a card controlled by your opponent, inflict 2000 damage to your opponent."
Allure Queen LV7,CDIP,database\images\AllureQueenLV7.jpg,Monster,Effect,Nil,Nil,Spellcaster,DARK,7,1500,1500,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV5"", you can select 1 monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead."
The Immortal of Thunder,DB2,database\images\TheImmortalofThunder.jpg,Monster,Effect,Nil,Nil,Thunder,LIGHT,4,1500,1300,"FLIP: You gain 3000 Life Points. After this card is flipped, you lose 5000 Life Points when it is sent from the Field to the Graveyard."
Rocket Warrior,CT2,database\images\RocketWarrior.jpg,Monster,Effect,Nil,Nil,Warrior,LIGHT,4,1500,1300,"This effect is only active during the Battle Phase of your turn. Battle Damage to this card and this card's controller that they take from a battle involving this card becomes 0. After damage calculation, decrease the ATK of the monster that was attacked by this card by 500 points until the end of this turn."
Armored Zombie,DB1,database\images\ArmoredZombie.jpg,Monster,Normal,Nil,Nil,Zombie,DARK,3,1500,0,This warrior blindly swings a deadly blade with devastating force.
Wandering Mummy,DB2,database\images\WanderingMummy.jpg,Monster,Effect,Nil,Nil,Zombie,EARTH,4,1500,1500,You can flip this card into face-down Defense Positon once per turn during your Main Phase. After you use this effect shuffle all face-down Defense monsters on your side of field and return them in face-down Defense Position to your side of the field.
Total Defense Shogun,DB2,database\images\TotalDefenseShogun1.jpg,Monster,Effect,Nil,Nil,Warrior,DARK,6,1550,2500,"This card is changed to Defense Position when it is Normal Summoned or Flip Summoned successfully. This card can attack while it is in Defense Position. If this card attacks while in Defense Position, apply the ATK of this card for damage calculation."
X-Saber Airbellum,DGD1,database\images\XSaberAirbellum.jpg,Monster,Effect,Nil,Tuner,Beast,EARTH,3,1600,200,"When this card inflicts Battle Damage to your opponent by a direct attack, discard 1 random card from your opponent's hand."
Hyper Synchron,CRMS,database\images\HyperSynchron.jpg,Monster,Effect,Nil,Tuner,Machine,LIGHT,4,1600,800,"If this card is sent to the Graveyard for the Synchro Summon of a Dragon-Type Synchro Monster, that monster gains 800 ATK. Remove it from play during the End Phase."
Road Synchron,5DS2,database\images\RoadSynchron.jpg,Monster,Effect,Nil,Tuner,Machine,LIGHT,4,1600,800,"If this card is used for the Synchro Summon of a monster other than ""Road Warrior"", its Level is reduced by 2. If this card attacks, at the end of the Damage Step, increase its Level by 1 until the End Phase."
"Rose, Warrior of Revenge",CSOC,database\images\RoseWarriorofRevenge.jpg,Monster,Effect,Nil,Tuner,Warrior,FIRE,4,1600,600,"When this card inflicts Battle Damage to your opponent, inflict 300 damage to your opponent."
Tune Warrior,5DS1,database\images\TuneWarrior.jpg,Monster,Effect,Nil,Tuner,Warrior,EARTH,3,1600,200,The warrior's antenna can attune it to any energy wave. It can monitor transmissions from miles away but always suffers from bad reception.
Aqua Spirit,DB2,database\images\AquaSpirit.jpg,Monster,Effect,Nil,Nil,Aqua,WATER,4,1600,1200,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WATER monster in your Graveyard. During each of your opponent's Standby Phases, you can change the battle position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn."
Gladiator Beast Samnite,DGD1,database\images\GladiatorBeastSamnite.jpg,Monster,Effect,Nil,Nil,Beast,EARTH,3,1600,1200,"If this card was Special Summoned by the effect of a ""Gladiator Beast"" monster, when this card destroys an opponent's monster by battle and sends it to the Graveyard, you can add 1 ""Gladiator Beast"" card from your Deck to your hand. At the end of the Battle Phase if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Samnite""."
Bountiful Artemis,DR04,database\images\BountifulArtemis.jpg,Monster,Effect,Nil,Nil,Fairy,LIGHT,4,1600,1700,"While this card is face-up on the field, draw 1 card from your Deck each time a Counter Trap Card is activated."
Shining Abyss,DB1,database\images\ShiningAbyss.jpg,Monster,Normal,Nil,Nil,Fairy,LIGHT,4,1600,1800,This monster employs the powers of both Light and Darkness.
"Beiige, Vanguard of Dark World",DR04,database\images\BeiigeVanguardofDarkWorld.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,4,1600,1300,"If this card is discarded from the hand to the Graveyard by a card effect, Special Summon this card to your side of the field."
Ryu-Kishin Powered,DB2,database\images\RyuKishinPowered.jpg,Monster,Normal,Nil,Nil,Fiend,DARK,4,1600,1200,A gargoyle enhanced by the powers of Darkness. Very sharp talons make it a worthy opponent.
Shreddder,ABPF,database\images\Shreddder.jpg,Monster,Effect,Nil,Nil,Machine,EARTH,4,1600,1000,"Once per turn, you can send 1 Machine-Type monster from your hand to the Graveyard to destroy 1 face-up monster your opponent controls whose Level is less than or equal to that monster's."
V-Tiger Jet,DP2,database\images\VTigerJet.jpg,Monster,Normal,Nil,Nil,Machine,LIGHT,4,1600,1800,This ace fighter is unbeatable in a dogfight. It combines with other monsters to launch an array of encircling attacks.
Rigorous Reaver,CP06,database\images\RigorousReaver.jpg,Monster,Effect,Nil,Nil,Plant,FIRE,3,1600,100,FLIP: Each player discards 1 card. A monster that destroys this card by battle loses 500 ATK and DEF.
Seed of Flame,CSOC,database\images\SeedofFlame.jpg,Monster,Effect,Nil,Nil,Plant,FIRE,3,1600,1200,"When this card you control is destroyed by a card effect and sent to the Graveyard, you can Special Summon 1 Level 4 or lower Plant-Type monster, except ""Seed of Flame"", from your Graveyard. Also, Special Summon 1 ""Seed Token"" (Plant-Type/EARTH/Level 1/ATK 0/DEF 0) to your opponent''s side of the field in Defense Position. This Token cannot be Tributed for a Tribute Summon."
Alien Kid,CRMS,database\images\AlienKid.jpg,Monster,Effect,Nil,Nil,Reptile,LIGHT,4,1600,700,"Place 1 A-Counter on all monsters Special Summoned to your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)"
Frontier Wiseman,DB2,database\images\FrontierWiseman.jpg,Monster,Effect,Nil,Nil,Spellcaster,EARTH,3,1600,800,"As long as this card remains face-up on your side of the field, it negates the effects of Spell Cards that designate Warrior-Type monsters on your side of the field as targets and destroys the Spell Card."
Magician's Valkyria,CP08,database\images\MagiciansValkyria.jpg,Monster,Effect,Nil,Nil,Spellcaster,LIGHT,4,1600,1800,Your opponent cannot select another Spellcaster-Type monster on your side of the field as an attack target.
Rapid-Fire Magician,DR04,database\images\RapidFireMagician.jpg,Monster,Effect,Nil,Nil,Spellcaster,DARK,4,1600,1200,"While this card is face-up on the field, inflict 400 damage to your opponent each time you activate 1 Normal Spell Card."
Thunder Dragon,CP02,database\images\ThunderDragon.jpg,Monster,Effect,Nil,Nil,Thunder,LIGHT,5,1600,1500,"During your Main Phase, by discarding this card, add up to 2 ""Thunder Dragons"" from your Deck to your hand."
Blade Knight,DB2,database\images\BladeKnight.jpg,Monster,Effect,Nil,Nil,Warrior,LIGHT,4,1600,1000,"While you have 1 or fewer cards in your hand, this card gains 400 ATK. If this is the only monster you control, negate the effects of Flip Effect Monsters it destroys by battle."
Combo Fighter,CDIP,database\images\ComboFighter.jpg,Monster,Effect,Nil,Nil,Warrior,WIND,4,1600,800,"If a Chain (of 2 or more Links) occurred in your Main Phase 1, this card can attack twice during the Battle Phase this turn."
Deepsea Warrior,DB1,database\images\DeepseaWarrior.jpg,Monster,Effect,Nil,Nil,Warrior,WATER,5,1600,1800,"As long as ""Umi"" is face-up on the field, this card is unaffected by any Spell Cards."
Iron Chain Repairman,CSOC,database\images\IronChainRepairman.jpg,Monster,Effect,Nil,Nil,Warrior,EARTH,4,1600,1200,"When this card destroys a monster by battle and sends it to the Graveyard, inflict 300 damage to your opponent. Once per turn, you can Special Summon 1 Level 4 or lower ""Iron Chain"" monster from your Graveyard, except ""Iron Chain Repairman"". This card cannot attack the turn you activate this effect."
Search Striker,CSOC,database\images\SearchStriker.jpg,Monster,Effect,Nil,Nil,Warrior,WIND,4,1600,1200,"If this card attacks a face-down Defense Position monster, you can destroy the monster immediately with this card's effect without flipping it face-up or applying damage calculation. If you do, this card is changed to Defense Position at the end of the Battle Phase. This card''s battle position cannot be changed until the end of your next turn, except with a card effect."
Warrior of Zera,AST,database\images\WarriorofZera.jpg,Monster,Normal,Nil,Nil,Warrior,EARTH,4,1600,1600,"A wandering warrior who seeks the sanctuary where he can gain the power of the Archlords. To escape the temptation of evil fiends, he fights solo day by day."
Birdface,DB2,database\images\Birdface.jpg,Monster,Effect,Nil,Nil,Winged Beast,WIND,4,1600,1600,"When this card is sent to the Graveyard as a result of battle, you can add 1 ""Harpie Lady"" from your Deck to your hand. Then shuffle your Deck."
Royal Keeper,DB2,database\images\RoyalKeeper.jpg,Monster,Effect,Nil,Nil,Zombie,EARTH,4,1600,1700,"You can flip this card into face-down Defense Position once per turn during your Main Phase. When this card is flipped face-up, increase the ATK and DEF of this card by 300 points until the end of the turn that this card is flipped face-up."
Shadow Ghoul,DB2,database\images\ShadowGhoul.jpg,Monster,Effect,Nil,Nil,Zombie,DARK,5,1600,1300,Increase the ATK of this monster by 100 for each monster in your own Graveyard.
Royal Swamp Eel,CRMS,database\images\RoyalSwampEel.jpg,Monster,Effect,Nil,Tuner,Fish,WATER,4,1700,1200,"If this card is used as a Synchro Material Monster, all the other Synchro Material Monsters must be Fish-Type."
Witch of the Black Rose,ABPF,database\images\WitchoftheBlackRose.jpg,Monster,Effect,Nil,Tuner,Spellcaster,DARK,4,1700,1200,"This card cannot be Special Summoned. When this card is Normal Summoned while you control no cards, draw 1 card and reveal it. If the card you drew is not a Monster Card, send it to the Graveyard and destroy this card."
Mad Lobster,CRV,database\images\MadLobster.jpg,Monster,Normal,Nil,Nil,Aqua,WATER,3,1700,1000,A gourmet food renowned by the Dark World upper crust. It has sensational flavor.
Twinheaded Beast,DBT,database\images\TwinheadedBeast.jpg,Monster,Effect,Nil,Nil,Beast,FIRE,6,1700,1900,This card can attack twice during the same Battle Phase.
Ghost Knight of Jackal,AST,database\images\GhostKnightofJackal.jpg,Monster,Effect,Nil,Nil,Beast-Warrior,EARTH,5,1700,1600,You can Special Summon an opponent's monster that is destroyed and sent to the Graveyard by this card as a result of battle to your side of the field in face-up Defense Position.
Dancing Fairy,DB1,database\images\DancingFairy.jpg,Monster,Effect,Nil,Nil,Fairy,WIND,4,1700,1000,"As long as this card remains in face-up Defense Position on your side of the field, gain 1000 Life Points during each of your Standby Phases."
Abaki,CDIP,database\images\Abaki.jpg,Monster,Effect,Nil,Nil,Fiend,FIRE,4,1700,1100,"When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage."
Dark Lucius LV6,CDIP,database\images\DarkLuciusLV6.jpg,Monster,Effect,Nil,Nil,Fiend,EARTH,6,1700,600,"If this card was Special Summoned by the effect of ""Dark Lucius LV4"", the effects of your opponent's monsters that this card destroys by battle are negated. During your next Standby Phase after this card has negated your opponent's monster effect, by sending this card to the Graveyard, Special Summon 1 ""Dark Lucius LV8"" from your hand or Deck."
Djinn Cursenchanter of Rituals,ABPF,database\images\DjinnCursenchanterofRituals.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,4,1700,1000,"When you Ritual Summon a Ritual Monster, you can remove from play this card from your Graveyard as 1 of the monsters required for the Ritual Summon. While the Ritual Monster this card was used in the Ritual Summon for is face-up on the field, negate the effect(s) of Synchro Monsters."
Marie the Fallen One,DB1,database\images\MarietheFallenOne.jpg,Monster,Effect,Nil,Nil,Fiend,DARK,5,1700,1200,"As long as this card is in the Graveyard, gain 200 Life Points during each of your Standby Phases."
Dimension Fortress Weapon,CRMS,database\images\DimensionFortressWeapon.jpg,Monster,Effect,Nil,Nil,Machine,DARK,4,1700,200,Cards cannot be sent from the Deck to the Graveyard.
Needle Burrower,AST,database\images\NeedleBurrower.jpg,Monster,Effect,Nil,Nil,Machine,DARK,5,1700,1700,"When this card destroys a monster and sends it to the Graveyard as a result of battle, inflict damage to your opponent's Life Points equal to the Level of the destroyed monster x 500 points."
